key,model,f1_score_mean,f1_score_std,accuracy_mean,accuracy_std,recall_mean,recall_std,precision_mean,precision_std,params
uah,SVC,0.7887581233260065,0.0,0.7894023580430952,0.0,0.7894023580430952,0.0,0.7929405419349101,0.0,"{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}"
sumo_fixed,RFClassifier,0.33682325699924576,0.00020839436550848902,0.5014737769345439,9.431773212545444e-05,0.5014737769345439,9.431773212545444e-05,0.7504196705799411,2.3638012545145095e-05,"{'max_depth': 50, 'n_estimators': 100}"
sumo_llm,XGBClassifier,0.4159742000728149,0.0,0.4892261824095406,0.0,0.4892261824095406,0.0,0.4786585058247461,0.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.2, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.5}"
carla_fixed,RFClassifier,0.37578877316531956,0.046461581512611476,0.4928682748339883,0.01201461552322309,0.4928682748339883,0.01201461552322309,0.4840154843477032,0.048947186721670616,"{'max_depth': 10, 'n_estimators': 20}"
carla_llm,RFClassifier,0.4411076474282946,0.0558189768187762,0.4789944436915571,0.028221716927842637,0.4789944436915571,0.028221716927842637,0.46263908328397113,0.04634523300983682,"{'max_depth': 10, 'n_estimators': 20}"
sumo_uah_fixed_20,XGBClassifier,0.7370910032637138,0.0,0.7370917468491666,0.0,0.7370917468491666,0.0,0.73709556627949,0.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': None, 'n_estimators': 700, 'subsample': 0.5}"
sumo_uah_llm_20,RFClassifier,0.7313107964069514,0.0005590405163598634,0.7317387179834666,0.0005504836972920452,0.7317387179834666,0.0005504836972920452,0.7332010374258138,0.0006186985663986216,"{'max_depth': 10, 'n_estimators': 100}"
sumo_uah_fixed_60,RFClassifier,0.7298433920000698,0.0010644822186794964,0.7302480010841578,0.0010387389698303091,0.7302480010841578,0.0010387389698303091,0.7316122621046892,0.0009923154121520012,"{'max_depth': 10, 'n_estimators': 100}"
sumo_uah_llm_60,XGBClassifier,0.7341023141094059,0.0,0.7341103130505489,0.0,0.7341103130505489,0.0,0.7341418852277658,0.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': None, 'n_estimators': 1000, 'subsample': 0.7}"
sumo_uah_fixed_100,XGBClassifier,0.7328894680452058,0.0,0.732890635587478,0.0,0.732890635587478,0.0,0.7328960804711723,0.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 500, 'subsample': 0.5}"
sumo_uah_llm_100,RandomForestClassifier,0.7304782905194571,0.001348288610477488,0.7309255996747527,0.0013653233283378444,0.7309255996747527,0.0013653233283378444,0.732446084607624,0.0014944096741008879,"{'max_depth': 10, 'n_estimators': 100}"
carla_uah_fixed_20,XGBClassifier,0.6620195462356778,0.0,0.6683832497628405,0.0,0.6683832497628405,0.0,0.6820164980335998,0.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': None, 'n_estimators': 500, 'subsample': 0.5}"
carla_uah_llm_20,XGBClassifier,0.658784894475942,0.0,0.6687898089171974,0.0,0.6687898089171974,0.0,0.6911096813022336,0.0,"{'colsample_bytree': 0.7, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 0.5}"
carla_uah_fixed_60,RFClassifier,0.6066113720592816,0.015940910836966943,0.6072977368207074,0.01642401002830655,0.6072977368207074,0.01642401002830655,0.6081501860881461,0.017206498727205328,"{'max_depth': 50, 'n_estimators': 20}"
carla_uah_llm_60,XGBClassifier,0.6537327961539646,0.0,0.6645886976555089,0.0,0.6645886976555089,0.0,0.6880772408358723,0.0,"{'colsample_bytree': 0.5, 'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500, 'subsample': 1.0}"
carla_uah_fixed_100,RFClassifier,0.6378126773340695,0.010747153629050552,0.6385689117766635,0.011101869271776754,0.6385689117766635,0.011101869271776754,0.6397802605263285,0.011787437014869888,"{'max_depth': 20, 'n_estimators': 100}"
carla_uah_llm_100,RandomForestClassifier,0.6282131836892577,0.006478395914761049,0.6282524732348557,0.006516031818840851,0.6282524732348557,0.006516031818840851,0.6283063851031532,0.0065692489120939375,"{'max_depth': None, 'n_estimators': 500}"
